,0
38,年纪大了 看电影真的很容易哭
39,3.7星。30+社畜必看成人向动画。1.皮克斯再度将一个名词生动拟人化，这个词在咱中国叫做----投胎。2.虽然不是每个人都有波澜壮阔的人生，但你可以拥有平凡却不平淡的生活。3.人生的真谛不仅只有目标，更重要的是“感受，体验和交流”。4.每个（东北）成年人都会在某一刻问自己这样一个问题：我是怎么变成今天这熊样儿的？5.总觉得哪里差了点意思，可能少了一个让观众宣泄情感的煽情点，类似《寻梦环游记》里被家人遗忘而消失的人或是《头脑特工队》里的bingbong这种设置。
40,不再执着于讲煽情故事的皮克斯，居然直接拍出了一部礼赞平凡生活的essay film，这毫无疑问是皮克斯自Wall-E以来最大的一次自我突破。恶意揣测Peter Docter一定很讨厌《爆裂鼓手》才拍了这片
41,反向励志的心灵鸡汤，生命不是一场竞赛，活着的意义在于活着本身。22的落点好像是印度还是中国...（地狱难度啊，提前心疼一波）
42,2020年的末尾，终于体会到了久违的温暖与柔软。皮克斯的两面，平凡世界的幻想，幻想世界的平凡，将成年人的烦恼在童真中抚慰，将孩子们的欢笑在成长中丰满。一颗对生命毫无激情的纯真种子，聪慧却脆弱，在从零开始的直觉体会下逐渐向往活着的真切，一个迎来生命转机的倒霉男人，执着却迷茫，从满怀目标出发的主观能动后步步卸下包袱的放空，灵魂在这其中流淌生成，那是对生活的敬爱、接纳和珍重。那么事实呢，这糟糕的一年似乎早已不允许这种天真的童话存在，异世界中的精灵们亦如这世界的每一个人那般有着七情六欲，“人”的乐与悲，从未在这部作品中超脱，到头来，生活空前的艰辛，看淡一切的日子那样遥不可及。总不能放弃希望和梦吧，摆脱泥潭，大家也迎来了又一次新生，皮克斯将那份坚守的理想主义与乐观主义，以善良和浪漫之名，化作尘世福音。
43,看完电影走出电影院，感觉像经历了一场心灵SPA，突然觉得生命赋予我们的一切都是那么的美好伟大，想重新学着去感受生活，享受当下的一切。这就是一部电影可以带给我们的惊喜，又一次感受到了电影的魔力！
44,好不容易想活了，还投胎到中国/印度，何苦呢。
45,迪士尼+皮克斯，年度最佳动画来了！老少咸宜的情节设计，但在绝妙的创意加持下又处处显新意！全程激发大家思索究竟该如何生活，也为每个负累的心灵疗伤。如果人在未出世前有选择权利，可能有人会像22选择从未出生，以来逃避生命的低质量与无意义，但那样便永远无缘领受一片落叶在空中旋转出的炫目舞蹈。也或像Joe坚信人应为某种终极目标和理想生活，殊不知生活本身才是我们的全部。故事中的角色，没有一个能说清生活的真相，每一种生活方式都在给予旁人启发。生死之间，我们无法选择太多，但可以选择真实地对待生活，每时每刻。值得电影院~
46,在LFF。好像充满玄学但其实没说什么的故事，结论就是即使你找到了梦想工作其实还是一个社畜，没办法只能好好活着咯（x但还是赚足我眼泪。槭树果实飞落的那些秋天街头瞬间，22和妈妈对话瞬间，就像是我，突然想家。btw Jerry和Terry要是毕加索活着不会搞侵权吗……？
47,良心制作不受国内青睐，排片不足某商业垃圾十分之一，是造了什么孽和郭敬明同一天上映？
48,《心灵奇旅》虽然有奇幻和高概念的外壳，但内在无疑是一部纽约电影。是关于大城市的故事，它充斥着城市的喧闹和喇叭声，又带你从另一个角度体验城市的美好。理发店、披萨、百吉饼、路边的歌手、拥挤的地铁，甚至公园中的那一片落叶，我们习以为常，甚至已经厌倦的东西，换个角度在电影中出现，便会有魔力般变得如此美好。它可以具体到某个路口，某个街角，和你居住在其中的体验如此相似和真实。这样的感受，在伍迪·艾伦的作品里有，但在动画里却很少出现。当动画可以再造任何场景时，皮克斯怀念的却是一个真实的纽约，这才是情怀吧。也不禁让人想到，我们是否也有上海城市电影或者北京城市电影呢？目前来看，唯一比较接近的，就只有《春风沉醉的夜晚》里的南京吧。
49,皮克斯的动画从来没让人失望过，不管你抱着多大的期待去看，都一定会超出预期，除了一贯丰富的想象力，《心灵奇旅》更大的看点，是反传统追求梦想和理想主题，去思考自己如何读懂和看清自己，影片用了任务式展开剧情带出的闲笔，在反高潮戏份中带出主题。人活着是为了梦想吗，为了人生目标吗，为了赢得别人更多的掌声吗，还是为了更能触摸自己灵魂，和自己来一次灵魂出窍的探索，去体会自己在世界中存在的意义，或没有意义，只是为了活得更真实。
50,太好哭了！此片献给悲惨的2020，也献给所有热爱过生活又对生活失望过的朋友！如果说灵魂世界概念的设定是A级，那么最后一波波关于生活中那些曾活过，曾绽放过的花火细节的情感冲击绝对是S级的！一定要去影院看，看完感觉自己又可以与残酷的人生再战500年！
51,即使整个剧本都是套路，但还是被这碗鸡汤给打动，因为感动是一种本能，就像活着，拥有意识——如此富足地被给予这整个世界，是如此轻而易举跳脱了所有关于自杀的哲学讨论。
52,看哭了。所有人都在教你做人，所有事都在找寻意义，所有道路都要通往一个目标，所有标签都在试图定义你，只有皮克斯在告诉你，梦想不重要，意义不重要，庸庸碌碌或是功成名就都不重要。宇宙太大，地球太小；梦想太重，生命太轻。李安说，我已经见过大海了，我不能假装没有见过。但是这部动画片告诉你，如果你还没见过大海，去见见看吧，或许还不错；但你不想见的话，家门口的小溪其实也很美。2020年末，皮克斯用一部动画疗愈所有人，摸摸大家的头，说你们这些还没有找到Spark的人呐，你们都辛苦了，努力很重要，但是不加油也没关系哦，切勿贪图意义，存在即是风景。
53,说是2020最佳电影亦不为过。本以为是与人物形象类似，轻快而柔软的电影，逐渐展露出的内核却更具深度与力道。能因一部电影同时收获爆笑与热泪，《心灵奇旅》以一片落叶，成功奏鸣我心底失音的琴弦。
54,每个人都在平庸地活着，为何一定有目标才能有火花？皮克斯认真起来从来没有让人失望过，这次他们又打开脑洞，通过一个音乐老师濒死灵魂出窍的点子，来探讨灵魂的本质与生命的意义。简洁的画风加上自在的幽默，一个死后的魂灵世界便奇妙地出现在眼前，在一系列兜兜转转的冒险之后，又能给你会心一击，让眼泪在眼眶里打转。 
55,觉得下一秒就要进入一种也是很棒的俗套时，立马转向更棒的角度，2次。我觉得我们拍不出这样的电影，甚至连这样带有强烈人文关怀的文本都写不出来（不能面世）。看得心情舒畅，有所释怀。
56,揽获多项奥斯卡提名（包括最佳影片）几乎是必然的事。除了每年都在精进、不断拓展动画影像可能性的视觉效果，皮特·道格特延续了他卓尔不群的剧作，将天马行空的想象力和存在主义哲学融入流畅的叙事中，同时借用灵魂意象调动身体、感官、性别乃至跨物种的友情想象，探讨fate/destiny、being/becoming之间的细微区别与内在联结。这是一部关于激情的电影，除了对纽约市和爵士乐的款款深情，还有对动画电影制作机制的多次自指：影片最震撼的段落之一莫过于Joe初次坠入Great Beyond时由黑白线条勾勒的场景——它成功还原了动画电影创作者将想象力付诸实践的过程。毋庸置疑的是，《心灵奇旅》将是新世纪以来最伟大的动画电影之一，圣诞首映日（我不知道是否与圣诞有关）大陆院线的排片是对这部电影的无耻羞辱。
57,很工整的故事，说教还是明显了些
58,生命中的火花不一定是你的天赋 不一定是你的人生目标 但一定是那些可能别人看起来微不足道 却让你发出“哇~活着真好~”的那些小瞬间
59,有一种为了讲这么一个活在当下的主题，硬设计了这么一个故事的感觉。创意可以，但故事略硬，整体都跟寻梦的发展路线很像，后半部分却没有推上去，虎头蛇尾。人物转变生硬，有种想模仿寻梦却没仿成功的感觉。电影里这个所谓的活在当下，其实有点假大空，就好像追逐目标就一定会迷失，珍惜每一天的分分秒秒随时感受细节才是活着。但是其实生活本身没那么简单，感受分分秒秒的也可能是享乐主义？追逐目标的人也不一定就是那个不识大海的鱼？看电影的时候觉得仿佛是对的，回头一想就不是那么相信了
60,看片尾一串的lightning artist……印象很深的一幕是全职信上透明塑料隔膜上反射的光影给人的强烈真实感，而萨克斯上的流金浮动则几近炫技了。
61,2020这样的一年，这片子来的太晚了！
62,这是关于我们这个时代的，又一位大师笔下的纽约，远比《曼哈顿》《弗朗西斯哈》更瑰丽奇绝
63,No! 差《头脑特工队》一大截。
64,在一切变好之前，我们总要经历一些不开心的日子，这段日子也许很长，也许只是一觉醒来。有时候，选择快乐，更需要勇气。
65,由《头脑特工队》作为灵感、并拓展补充的性格重塑与生活启示，延续《寻梦环游记》对死亡等更多深刻话题的普及教育，再来点《善地》的即视感，本以为最多就是部“集大成之作”，工业用最娴熟的功夫来拼贴。但看完之后却没有犹豫地想要给出今年第一个电影五星，它塑造了更为迷人的故事世界，抛出了更为深刻的“哲学”问题，还有佐以菲姐的绝佳配音，几乎占齐了所有击中了我的点。2020年彼此之间最平凡却又最难能可贵的寄语是“好好活着、珍惜生命”，去重新拾起那些或许在“正常生活”被遗忘的美好，并选择将危机后作为一场重新开始...属于今年的启示都在Joe和22的故事找到了。真正的Movie of the year.
66,年度动画片，皮克斯又一部纯熟与创意兼具的佳作。将爵士乐与心灵成长相结合，对心理意识的呈现似[头脑特工队]变奏，对生前死后之过渡边界的着力上承[寻梦环游记]，而本片的冒险历练主要在现实社会中展开，尤其强调琐碎生活中的【当下感知】，一如面包、秋叶与抚触脚边的海水，一如俩主角通过猫的中介达成身体互换，如孩童般初次体验并专注于全新的感知方式（人生成猫；几千年看遍世人的厌世之魂“下凡”初尝鲜活感知之流则同质于[柏林苍穹下]），出体与错位既使两人重新观照自我，交互成长，又予人足够笑料。皮克斯对抽象风格的融贯与将概念具象化、空间化的能力无与伦比：量子世界与洪荒宇宙叠交的生之来处与生之彼岸，毕加索风自如流变的异界管理者和拟态成冷抽象画的计算追猎者，忘我之境里的出神之灵与因过分执着而迷失的怪兽化灵体。（8.8/10）
67,赶紧多排片，把郭小四这种鸡贼劣币赶出去。这才是好片！
68,22号投胎到了川西，成了丁真。
69,一念成灵，一念成执。成灵忘我，成执无我。无我之境，生不若死。忘我之境，死亦犹生。
70,和人生的死磕与和人生的和解 难得的统一了 这是每个中年人的必修课。在今年在当下，尤其可贵。
71,火花是在你想要生活的瞬间产生的，而不是目标 
72,因为有了那段轻盈而曼妙的蒙太奇，《心灵奇旅》可以视为一部关于存在的电影。落叶—城市—地球—银河，影像起落，境界飞升。此段蒙太奇的魔力堪比是枝裕和的《奇迹》，对于观众而言，这也是“生之来处”。乔误以为音乐梦想是生活的出口，其实只是一个借口，一场宏大的幻觉，远不及一片握在手中的落叶，一段讨生活的艺人在地铁中弹奏的旋律，更加值得珍视。生命的意义是什么？如此厚重的叩问，被皮克斯轻轻点破。
73,皮克斯果然不会让人失望，今年最治愈的电影，社畜的暖心良药，比一万句鸡汤还顶用，也推荐给所有焦虑和抑郁的人们，人生不需要追求意义，活着就是最大的意义。
74,有套路，也有一些反套路：比如在人物设定上，走审丑路线，故意给每个角色一张肥嘟嘟的脸，你敢歧视胖子，那就让每个人都变成你讨厌的样子。再比如一般这种电影里的主角，要么疯狂开挂要么奇妙冒险，但本片男主摔了一跤就死了。是的，死有时候就是这样简单且没有道理。人生是一场漫长的旅途，该怎样才能笑着走到终点呢？如果你时常找不到北，或者欲望缠身，记得来看这部电影，答案也许就在其中。
75,谢谢你皮克斯。（特别像教会资助拍的电影
76,现在的动画和真人电影的观感体验越来越接近了，一是因为制作的细腻程度到了只要把动画人物换成真实人物，估计就能当真人电影看了；二是影片的拍摄手法和表达的主题非常成人化，影片中的冲突和焦虑是成人化的，包括那个还未投胎的1000岁的老灵魂。所以作为成年人观影，还是很容易被触动的。这一段心灵奇旅其实是自我发现和认可之旅。人生本无意义，但美好的体验仍值得我们热情的活着。影片的结尾稍显突兀，也足够开放，想想这样也好，否则又让主人公落入一个找到奋斗的目标然后乏味的死循环。这部片很适合自己去看，毕竟心灵之旅通常都是自己走，可以有空间慢慢体会。
77,比较像《It’s a wonderful life》的简化版，设定铺得很满，情感内核一泡污，最后的bonus life毫无意义。当某Jerry说出“火花不等于人生目的”的时候，“soul”的概念就变成灌输性质了，诺兰看了想流泪 with yy
78,一曲献给平凡废柴如你我的抚慰诗，你并不是非得有所成就又或是锁定了灵魂目标，才能追寻无意义的生命的意义。原来，有时候天赋也是一种诅咒，沉迷才是真正的迷失，自卑始终是灵魂最深的缺陷
79,天啦这片子 泪点低的我几乎每分每秒都想落泪 就是被里面那种隐隐的气息打动 能享受每一刻的活着真是太好了
80,满分之作，精彩绝伦，创意与技术的绝对领先！技术是手段，内核才添神韵。琴键之上，探讨何谓灵魂与存在，探讨何谓生之意义。一部适合所有年龄段观众的佳作～
81,感觉被灌了一碗毒鸡汤，汤里隐隐还有一丝丧的气息？看评论感觉我们看的不是一个片子，什么泪点反套路醍醐灌顶一丝都没有感受到，只能算作一个还不错的爆米花电影，大概人类的悲喜本不相通吧…
82,比Inside Out又上了一个台阶。不仅有卖萌有搞笑，也有温情感动。它有音乐，但并不是在讲音乐梦想，而是在讲一种人生哲学: It’s ok to be nobody.生活的意义不是成为人上人，只要过好每一天，再平常的事也很美好。这种充满人性关怀的信息对当今焦虑疲惫的社会人来说是极大的安慰，这也是皮克斯除了技术以外能傲世动画行业的一个重要因素。
83,我的年度Top3 终于出现了 皮克斯真的是脑洞大王 把“艺术的忘我时刻”与“灵魂”这么有趣可爱地表达展现了出来 …片中指的人在从事自己热爱的事物的时候 会有一种“忘我”状态 我目前肯定是绘画 🎨就是你在做这件事时 快感是真正地投入并忘我 而不是获得奖杯 荣誉 和名次以及物质的满足 这种“时刻”并不是每个人都拥有 而这部动画更升华的部分是 它展现了这世上除了拥有这些艺术天份之外的普通人 即使他们也许没有一个特定的爱好 但只要真切地感受着生命的每个瞬间 也是富有“爵士精神”的 …全片大量的Jazz BGM 对于爵士迷来说 太爽了！PS 里面那只胖猫太像我家菠萝了 以及各种我爱的纽约细节 看完想立刻吃一份薄底披萨🍕！
84,让没有purpose的我们存在吧，谢谢。
85,Listen to Soul. But listen to the soul. 22发现生活的那一刻，电影缓缓抽离配乐而进入了真空状态，第四维度的大门在银幕上敞开，周围人的呼吸声、啜泣声都被电影里弥散出的幸福的气息所填满。皮克斯深谙普世的、永不过时的表达的奥秘，但它同时又总以极其私密的方式触及我，Joe对着22收集的东西演奏时，我的眼泪先他一秒夺眶而出——so I zoned out with him. 
86,虚像，非幻象，更非幻觉。
87,一看就是冲击奥斯卡最佳动画/最佳原创音乐的架势，非常适合琴童家长看，走路晒太阳看星星也可以是灵魂的意义所在
88,也不是特別好，挺老套的，但當Joe把棒糖、披薩邊、線圈、碎麵包和黃葉在鋼琴上一字排開的時候，突然就哭得稀裡嘩啦。生活不是一個目標，生活是每一分鐘。
89,皮克斯又写了一篇“反好莱坞精神传统”甚至“整个美国精神传统”的心理学小论文，论题并不见得精深却总是捡起被成人遗落在精神角落的本质放在手心，一瞬的回响或者久久的回味。
90,梦想固然可贵，然而体验生活里那些微小的琐碎欢愉或许才真正让我们在这艰辛颠沛的世界得到安放。普通人也有自己活下去伟大的意义。
91,在丧到不行的2020，看到这样一部走心的动画，皮克斯真的是用心良苦。没有猛灌心灵鸡汤，而是建造一个物质与精神交汇的世界，用美好去化解痛苦，用冒险去感知生活。只为告诉我们：人生的意义，不在于成就和目标，在于活在当下，酸甜苦辣，柴米油盐酱醋茶，这一切才能构造一个完整的灵魂。从根本去治愈心灵，改变观众感受世界的方式，皮克斯真的牛逼！
92,后劲太大了，看的时候还好，走路回去一路爆哭。
93,带给我的感动没有头脑特工队那么强，但已经是十分优秀的动画片了。创意创意创意。
94,苏格拉底说，未经审视的人生不值得一过，只是多少人活到了头也没来得及咂摸一下自己的人生？成不成功没那么重要，重要的是活在当下的每一刻，看一片叶子落下，吃一颗棒棒糖，哪怕只是简单地走在路上，千万别为了寻找大海的目标，忘了早已身在大海的事实。生活不过是此时此地此身。
95,略失望，心灵学院依然是把情绪机械化、生理标签化的一种粗暴设定，几乎就是在炒头脑特工队的冷饭，音乐梦想+亡灵第二世界的交织感又不及寻梦，最有趣的反而是人猫互换了，但这段的驱动来源于喜剧中常见的错位效果，跟核心设定亡灵音乐均无关系，由此感觉主创对核心设定也并无信心，不然哪需要加这段啊！
96,"亲爱的，不要听什么诸子百家
不要管什么希腊三贤，不要想什么存在与虚无，生存与毁灭……
好好活就是有意义
有意义就是好好活
亲爱的，爱就是我们的生命"
